0;0;0;0;land;false;unknown;2
1;100;252;164;land;false;forest;2
2;251;139;185;land;false;plains;2
3;133;245;185;land;false;jungle;2
4;174;130;249;land;false;plains;2
5;224;233;158;land;false;plains;2
6;192;249;84;land;true;plains;2
7;205;231;134;land;false;jungle;2
8;238;125;194;land;false;plains;2
9;101;216;189;land;false;plains;2
10;211;228;118;land;false;plains;2
11;208;140;163;land;false;plains;2
12;192;169;157;land;false;plains;2
13;150;199;194;land;false;plains;2
14;150;238;119;land;false;plains;2
15;174;254;154;land;false;plains;2
16;238;142;202;land;true;plains;2
17;160;162;224;land;false;plains;2
18;208;194;164;land;false;plains;2
19;169;161;189;land;false;plains;2
20;149;248;214;land;true;plains;2
21;168;165;199;land;false;plains;2
22;180;204;216;land;false;desert;2
23;227;222;209;land;false;plains;2
24;203;100;210;land;false;plains;2
25;113;233;167;land;false;plains;2
26;206;208;125;land;false;marsh;2
27;244;166;243;land;false;plains;2
28;228;132;187;land;false;plains;2
29;214;48;241;land;false;plains;2
30;246;254;125;land;false;plains;2
31;181;240;191;land;false;plains;2
32;151;137;217;land;false;plains;2
33;136;215;173;land;true;plains;2
34;218;210;133;land;false;plains;2
35;227;195;123;land;false;plains;2
36;233;167;174;land;true;urban;2
37;211;251;152;land;false;plains;2
38;181;161;174;land;false;plains;2
39;185;176;221;land;false;plains;2
40;77;247;244;land;false;plains;2
41;115;177;234;land;false;plains;2
42;178;219;205;land;false;plains;2
43;159;166;186;land;false;hills;2
44;196;225;215;land;false;plains;2
45;222;212;174;land;false;hills;2
46;253;161;140;land;false;plains;2
47;204;251;251;land;false;plains;2
48;234;206;176;land;false;plains;2
49;229;184;196;land;false;plains;2
50;207;93;241;land;false;plains;2
51;229;49;250;land;false;plains;2
52;213;208;146;land;false;plains;2
53;229;148;129;land;false;plains;2
54;139;226;229;land;false;desert;2
55;236;36;235;land;false;desert;2
56;218;240;89;land;false;plains;2
57;252;248;128;land;true;plains;2
58;225;252;96;land;true;urban;2
59;209;219;99;land;false;plains;2
60;96;205;201;land;false;plains;2
61;252;247;92;land;false;plains;2
62;125;199;190;land;false;plains;2
63;138;204;181;land;false;plains;2
64;254;251;78;land;true;urban;2
65;158;165;244;land;false;mountain;2
66;174;172;155;land;false;plains;2
67;247;175;131;land;false;plains;2
68;170;125;251;land;false;plains;2
69;167;132;254;land;false;plains;2
70;219;247;184;land;false;plains;2
71;166;246;174;land;true;plains;2
72;228;234;47;land;false;plains;2
73;222;120;183;land;true;urban;2
74;228;192;254;land;false;plains;2
75;179;134;252;land;false;plains;2
76;210;166;134;land;false;plains;2
77;204;186;129;land;false;plains;2
78;216;185;233;land;false;plains;2
79;153;240;187;land;false;desert;2
80;238;225;241;land;false;plains;2
81;136;167;248;land;false;plains;2
82;251;253;49;land;false;plains;2
83;189;223;254;land;false;marsh;2
84;247;213;142;land;false;plains;2
85;219;51;248;land;false;plains;2
86;79;239;248;land;false;plains;2
87;179;233;182;land;false;mountain;2
88;186;175;217;land;false;plains;2
89;224;159;227;land;false;plains;2
90;201;224;77;land;false;plains;2
91;116;216;202;land;false;plains;2
92;94;225;197;land;false;mountain;2
93;210;200;165;land;false;plains;2
94;240;136;253;land;false;plains;2
95;220;189;156;land;false;plains;2
96;151;142;247;land;false;plains;2
97;84;193;245;land;false;plains;2
98;231;104;188;land;false;plains;2
99;142;251;131;land;false;plains;2
100;60;248;226;land;false;plains;2
101;232;162;157;land;true;urban;2
102;209;247;76;land;false;plains;2
103;249;169;91;land;false;plains;2
104;147;166;205;land;false;plains;2
105;112;198;211;land;false;plains;2
106;213;252;246;land;false;plains;2
107;233;177;171;land;false;plains;2
108;158;238;203;land;false;desert;2
109;249;251;145;land;false;plains;2
110;183;190;159;land;false;plains;2
111;201;217;148;land;false;marsh;2
112;148;221;147;land;false;plains;2
113;173;209;177;land;false;plains;2
114;245;194;130;land;false;plains;2
115;99;203;234;land;false;plains;2
116;121;224;177;land;true;plains;2
117;254;242;81;land;false;desert;2
118;239;156;173;land;false;plains;2
119;240;216;101;land;false;plains;2
120;157;152;228;land;false;plains;2
121;252;62;249;land;false;plains;2
122;172;233;154;land;false;plains;2
123;237;69;221;land;false;desert;2
124;217;232;90;land;false;mountain;2
