1;arms_factory;1353.00;10.40;1374.00;4.90;0
1;arms_factory;1363.00;10.50;1376.00;5.00;0
1;arms_factory;1358.00;10.50;1375.00;2.84;0
1;arms_factory;1342.00;10.10;1380.00;5.50;0
1;arms_factory;1355.00;10.10;1391.00;0.78;0
1;arms_factory;1361.00;10.20;1389.00;3.45;0
1;industrial_complex;1339.00;10.10;1378.00;1.29;0
1;industrial_complex;1361.00;10.50;1378.00;5.41;0
1;industrial_complex;1356.00;10.03;1363.00;5.51;0
1;industrial_complex;1345.00;10.10;1381.00;3.35;0
1;industrial_complex;1363.00;10.20;1392.00;6.01;0
1;industrial_complex;1350.00;10.05;1368.00;2.40;0
1;air_base;1353.00;10.03;1366.00;3.96;0
1;supply_node;1361.00;10.50;1375.00;2.66;0
1;supply_node;1333.00;10.05;1378.00;4.14;0
1;supply_node;1348.00;10.15;1382.00;1.90;0
1;supply_node;1358.00;10.20;1390.00;4.83;0
1;supply_node;1340.00;10.03;1371.00;0.03;0
1;supply_node;1351.00;10.15;1371.00;4.07;0
1;supply_node;1358.00;10.10;1363.00;5.55;0
1;naval_base;1350.00;9.50;1364.00;-1.57;7929
1;naval_base;1337.00;10.00;1383.00;-3.68;10075
1;naval_base;1337.00;9.50;1367.00;-0.93;8820
1;naval_base;1349.00;9.68;1390.00;-2.47;10075
1;naval_base;1354.00;9.73;1394.00;-2.50;10075
1;naval_base;1346.00;9.50;1364.00;-0.62;7929
1;bunker;1361.00;10.50;1376.00;6.08;0
1;bunker;1342.00;10.03;1384.00;6.18;0
1;bunker;1358.00;10.20;1386.00;4.02;0
1;bunker;1351.00;10.40;1375.00;0.41;0
1;bunker;1339.00;10.00;1371.00;3.07;0
1;bunker;1332.00;10.00;1381.00;6.09;0
1;bunker;1357.00;10.30;1369.00;2.47;0
1;coastal_bunker;1347.00;9.68;1388.00;-2.47;0
1;coastal_bunker;1339.00;9.50;1366.00;0.32;0
1;coastal_bunker;1357.00;10.07;1394.00;-2.50;0
1;coastal_bunker;1333.00;9.98;1382.00;-1.11;0
1;coastal_bunker;1348.00;9.50;1364.00;-1.57;0
1;coastal_bunker;1346.00;9.50;1364.00;-0.62;0
1;dockyard;1358.00;9.50;1359.00;0.24;0
1;anti_air_building;1333.00;10.00;1376.00;4.19;0
1;anti_air_building;1361.00;10.10;1394.00;2.03;0
1;anti_air_building;1356.00;10.25;1383.00;5.05;0
1;synthetic_refinery;1343.00;10.00;1369.00;6.25;0
1;fuel_silo;1356.00;10.20;1368.00;4.09;0
1;radar_station;1348.00;10.12;1378.00;1.86;0
1;rocket_site;1335.00;10.10;1378.00;2.04;0
1;nuclear_reactor;1348.00;10.00;1386.00;4.70;0
1;floating_harbor;1360.70;9.50;1352.21;-2.90;5475
2;arms_factory;1285.00;10.40;1394.00;2.84;0
2;arms_factory;1282.00;10.40;1396.00;5.50;0
2;arms_factory;1286.00;10.00;1377.00;0.78;0
2;arms_factory;1295.00;10.07;1402.00;3.45;0
2;arms_factory;1290.00;10.35;1406.00;1.29;0
2;arms_factory;1282.00;10.40;1393.00;5.41;0
2;industrial_complex;1284.00;10.35;1400.00;5.51;0
2;industrial_complex;1289.00;10.30;1398.00;3.35;0
2;industrial_complex;1295.00;10.07;1400.00;6.01;0
2;industrial_complex;1294.00;10.10;1403.00;2.40;0
2;industrial_complex;1293.00;10.15;1390.00;3.96;0
2;industrial_complex;1291.00;10.30;1394.00;1.80;0
2;air_base;1290.00;10.30;1395.00;3.00;0
2;supply_node;1292.00;10.12;1385.00;1.90;0
2;supply_node;1282.00;10.20;1403.00;4.83;0
2;supply_node;1292.00;10.20;1401.00;0.03;0
2;supply_node;1297.00;10.10;1393.00;4.07;0
2;supply_node;1281.00;10.40;1393.00;5.55;0
2;supply_node;1282.00;10.20;1383.00;2.20;0
2;naval_base;1299.00;9.95;1398.00;-3.73;9719
2;naval_base;1295.00;10.07;1383.00;1.37;11612
2;naval_base;1285.00;10.00;1376.00;0.62;10655
2;naval_base;1296.00;10.00;1403.00;-4.25;9719
2;bunker;1290.00;10.25;1396.00;1.96;0
2;bunker;1282.00;10.40;1390.00;6.08;0
2;bunker;1296.00;10.12;1387.00;6.18;0
2;bunker;1282.00;10.25;1399.00;4.02;0
2;bunker;1286.00;10.20;1383.00;0.41;0
2;bunker;1298.00;10.05;1393.00;3.07;0
2;coastal_bunker;1296.00;10.07;1384.00;1.37;0
2;coastal_bunker;1300.00;9.95;1394.00;-3.73;0
2;coastal_bunker;1297.00;9.98;1401.00;-4.25;0
2;coastal_bunker;1287.00;9.50;1376.00;0.62;0
2;dockyard;1285.00;10.00;1376.00;0.62;0
2;anti_air_building;1292.00;10.20;1406.00;5.74;0
2;anti_air_building;1296.00;10.10;1393.00;3.58;0
2;anti_air_building;1297.00;10.00;1399.00;5.14;0
2;synthetic_refinery;1284.00;10.30;1403.00;1.52;0
2;fuel_silo;1284.00;10.20;1405.00;4.19;0
2;radar_station;1288.00;10.40;1393.00;1.93;0
2;rocket_site;1291.00;10.10;1383.00;5.05;0
2;nuclear_reactor;1292.00;10.18;1386.00;6.25;0
2;floating_harbor;1291.07;9.50;1370.30;-2.52;5431
