2;1589.00;12.60;427.00;big
2;1658.00;13.25;279.00;big
3;1874.00;12.40;406.00;big
3;1862.00;10.68;563.00;big
4;1488.00;10.20;311.00;big
4;1512.00;10.18;174.00;big
5;2026.00;11.20;254.00;big
5;1821.00;10.85;169.00;big
6;1602.00;10.90;713.00;big
6;1837.00;12.00;701.00;big
7;1464.00;9.50;411.00;big
7;1523.00;9.50;583.00;big
8;1579.00;9.50;99.00;big
8;1722.00;9.50;96.00;big
9;1872.00;9.50;98.00;big
9;2032.00;9.50;82.00;big
10;1403.00;9.50;275.00;big
10;1310.00;9.50;241.00;big
11;1162.00;9.50;148.00;big
11;1406.00;9.50;112.00;big
12;1578.00;9.50;851.00;big
12;1705.00;9.50;878.00;big
13;1941.00;9.50;799.00;big
13;1856.00;9.50;975.00;big
14;2073.00;9.50;456.00;big
14;1982.00;9.50;562.00;big
15;2273.00;9.50;413.00;big
15;2130.00;9.50;267.00;big
16;2982.00;9.50;121.00;big
16;2380.00;9.50;149.00;big
17;2620.00;9.50;463.00;big
17;2432.00;9.50;407.00;big
18;3146.00;9.50;378.00;big
18;2875.00;9.50;499.00;big
19;3174.00;9.50;638.00;big
19;3281.00;9.50;572.00;big
20;3313.00;9.50;758.00;big
20;3373.00;9.50;458.00;big
21;3151.00;9.50;956.00;big
21;3297.00;9.50;1197.00;big
22;3528.00;9.50;1281.00;big
22;3457.00;9.50;1470.00;big
23;3002.00;9.50;1625.00;big
23;3257.00;9.50;1574.00;big
24;2740.00;9.50;1596.00;big
24;2562.00;9.50;1460.00;big
25;2221.00;9.50;1292.00;big
25;2384.00;10.10;1347.00;big
26;2010.00;9.50;1067.00;big
26;2107.00;9.50;1163.00;big
27;2934.00;9.50;1269.00;big
27;2751.00;9.50;1096.00;big
28;2081.00;10.10;692.00;big
28;2211.00;13.00;804.00;big
29;2260.00;11.90;527.00;big
29;2521.00;11.60;616.00;big
30;3199.00;10.18;510.00;big
30;3033.00;11.70;597.00;big
31;2976.00;10.00;880.00;big
31;3154.00;10.60;777.00;big
32;2730.00;11.35;588.00;big
32;2687.00;9.93;889.00;big
33;3084.00;10.62;1252.00;big
33;2951.00;10.98;1102.00;big
34;3076.00;10.15;1490.00;big
34;3356.00;11.15;1367.00;big
35;2600.00;10.10;1331.00;big
35;2815.00;10.95;1338.00;big
36;2552.00;10.95;1122.00;big
36;2423.00;11.03;936.00;big
37;2098.00;11.95;994.00;big
37;2319.00;10.60;1183.00;big
38;1919.00;11.45;1143.00;big
38;2110.00;10.50;1287.00;big
39;1883.00;10.15;1317.00;big
39;2045.00;9.50;1402.00;big
40;2257.00;9.50;1673.00;big
40;2130.00;10.10;1669.00;big
41;2048.00;9.50;1547.00;big
41;2345.00;9.50;1526.00;big
42;2273.00;9.50;1857.00;big
42;3143.00;9.50;1870.00;big
43;1633.00;9.50;1270.00;big
43;1762.00;9.50;1142.00;big
44;1590.00;10.00;1424.00;big
44;1433.00;9.50;1461.00;big
45;1358.00;9.50;1243.00;big
45;1317.00;9.50;1320.00;big
46;1124.00;9.50;1451.00;big
46;1285.00;9.50;1529.00;big
47;1082.00;9.50;1806.00;big
47;1334.00;9.50;1728.00;big
48;552.00;9.50;1664.00;big
48;779.00;9.50;1745.00;big
49;392.00;9.50;1503.00;big
49;273.00;9.50;1328.00;big
50;1691.00;9.50;1660.00;big
50;1040.00;9.50;1965.00;big
51;314.00;9.50;1788.00;big
51;3670.00;9.50;1717.00;big
52;278.00;9.50;904.00;big
52;266.00;9.50;1105.00;big
53;371.00;9.50;678.00;big
53;560.00;9.50;576.00;big
54;910.00;9.50;210.00;big
54;738.00;9.50;425.00;big
55;707.00;9.50;127.00;big
55;440.00;9.50;243.00;big
56;87.00;9.50;1089.00;big
56;3614.00;9.50;1034.00;big
57;145.00;9.50;384.00;big
57;3607.00;9.50;375.00;big
58;1481.00;10.60;1232.00;big
58;1430.00;10.60;1360.00;big
59;1627.00;11.15;1034.00;big
59;1453.00;11.85;1054.00;big
60;1452.00;10.45;766.00;big
60;1341.00;11.62;583.00;big
61;1179.00;12.55;347.00;big
61;883.00;11.62;403.00;big
62;949.00;10.50;777.00;big
62;685.00;11.68;710.00;big
63;478.00;11.00;769.00;big
63;499.00;12.82;1021.00;big
64;323.00;12.12;1214.00;big
64;502.00;10.75;1307.00;big
65;1114.00;10.12;1663.00;big
65;699.00;11.80;1604.00;big
66;1070.00;10.60;1395.00;big
66;791.00;13.00;1199.00;big
67;1259.00;11.68;1116.00;big
67;1219.00;10.75;1316.00;big
